#id, 楼层, 上/下按钮, 要去几层, 本条数据生效的间隔时间
1152,7,UP,19,1
1153,17,UP,19,4
1154,24,DOWN,4,5
1155,22,DOWN,12,1
1156,5,UP,13,1
1157,6,DOWN,5,3
1158,20,UP,22,4
1159,8,UP,11,3
1160,3,UP,7,2
1161,6,UP,20,4
1162,6,UP,24,2
1163,15,UP,23,3
1164,24,DOWN,11,5
1165,22,DOWN,3,3
1166,6,UP,15,5
1167,4,DOWN,1,4
1168,1,UP,3,6
1169,2,UP,5,5
1170,6,UP,17,5
1171,13,UP,22,6
1172,1,UP,5,4
1173,15,DOWN,6,4
1174,23,DOWN,7,2
1175,17,UP,22,5
1176,6,UP,23,1
1177,23,UP,24,1
1178,1,UP,8,6
1179,1,UP,14,3
1180,8,UP,22,6
1181,12,DOWN,4,4
1182,19,DOWN,15,5
1183,13,DOWN,6,1
1184,8,UP,22,3
1185,23,DOWN,16,2
1186,9,UP,11,4
1187,18,DOWN,16,6
1188,16,DOWN,2,3
1189,7,UP,22,4
1190,8,UP,15,3
1191,22,UP,23,5
1192,13,DOWN,7,6
1193,24,DOWN,15,4
1194,13,UP,17,2
1195,3,UP,11,6
1196,17,DOWN,15,3
1197,7,DOWN,5,1
1198,5,UP,13,6
1199,10,UP,17,5
1200,2,UP,16,5
1201,6,UP,16,4
1202,15,UP,21,3
1203,9,UP,15,2
1204,12,DOWN,1,2
1205,17,DOWN,9,1
1206,17,DOWN,7,1
1207,18,DOWN,2,5
1208,18,DOWN,3,4
1209,20,DOWN,4,6
1210,2,UP,8,4
1211,19,DOWN,7,2
1212,1,UP,11,6
1213,1,UP,2,5
1214,4,UP,23,3
1215,7,DOWN,4,3
1216,12,UP,13,2
1217,7,UP,8,6
1218,12,UP,18,3
1219,20,DOWN,2,6
1220,21,DOWN,2,3
1221,17,DOWN,5,2
1222,15,DOWN,4,2
1223,5,UP,20,1
1224,11,UP,23,1
1225,11,DOWN,2,5
1226,11,UP,24,5
1227,16,DOWN,7,1
1228,1,UP,2,6
1229,13,DOWN,5,3
1230,1,UP,2,3
1231,10,UP,21,3
1232,5,UP,21,4
1233,15,DOWN,13,5
1234,22,DOWN,1,1
1235,10,DOWN,1,2
1236,7,UP,22,4
1237,13,UP,16,4
1238,18,DOWN,1,5
1239,15,UP,19,5
1240,2,UP,20,6
1241,20,DOWN,11,4
1242,2,UP,5,5
1243,7,UP,12,4
1244,23,UP,24,5
1245,11,UP,22,4
1246,15,UP,22,4
1247,18,DOWN,14,3
1248,8,DOWN,5,5
1249,23,DOWN,11,3
1250,6,UP,20,5
1251,22,DOWN,12,2
1252,12,DOWN,9,2
1253,5,UP,7,1
1254,19,DOWN,6,3
1255,21,DOWN,9,5
1256,5,UP,23,4
1257,11,DOWN,7,1
1258,8,UP,10,3
1259,20,DOWN,8,6
1260,2,UP,6,2
1261,2,UP,22,6
1262,16,UP,22,3
1263,13,DOWN,6,6
1264,7,DOWN,3,3
1265,22,DOWN,10,5
1266,15,DOWN,2,4
1267,7,DOWN,4,6
1268,19,DOWN,12,5
1269,3,UP,6,5
1270,6,UP,16,2
1271,2,UP,15,5
1272,22,UP,23,6
1273,8,DOWN,1,3
1274,11,UP,24,3
1275,16,DOWN,5,2
1276,4,UP,7,5
1277,17,DOWN,4,2
1278,20,DOWN,16,2
1279,6,UP,9,6
1280,20,DOWN,2,1
1281,11,UP,22,2
1282,17,UP,20,1
1283,18,UP,19,2
1284,11,UP,14,5
1285,11,UP,22,1
1286,2,UP,3,2
1287,21,DOWN,6,3
1288,10,UP,16,3
1289,3,UP,9,4
1290,1,UP,6,3
1291,7,DOWN,4,3
1292,1,UP,5,5
1293,14,DOWN,9,6
1294,11,DOWN,10,6
1295,15,DOWN,5,3
1296,24,DOWN,18,2
1297,19,DOWN,13,6
1298,19,UP,22,6
1299,18,DOWN,1,2
1300,22,DOWN,1,6
1301,20,DOWN,4,6
1302,6,UP,21,5
1303,23,DOWN,12,4
1304,11,UP,14,5
1305,2,UP,12,4
1306,5,UP,21,5
1307,15,DOWN,5,3
1308,18,DOWN,4,5
1309,23,DOWN,1,3
1310,3,UP,10,1
1311,16,DOWN,2,3
1312,14,UP,16,3
1313,2,UP,5,1
1314,10,UP,11,3
1315,2,UP,12,5
1316,6,UP,23,4
1317,24,DOWN,18,3
1318,7,UP,21,6
1319,3,UP,20,5
1320,20,DOWN,11,1
1321,9,UP,24,5
1322,14,DOWN,2,3
1323,18,DOWN,6,4
1324,1,UP,5,4
1325,22,DOWN,6,5
1326,15,DOWN,9,6
1327,9,UP,16,4
1328,23,DOWN,14,6
1329,8,UP,24,6
1330,12,UP,14,3
1331,13,DOWN,7,6
1332,19,UP,22,1
1333,13,DOWN,5,6
1334,15,DOWN,2,3
1335,8,DOWN,7,4
1336,14,UP,18,5
1337,18,DOWN,6,1
1338,13,DOWN,11,1
1339,13,UP,14,6
1340,9,DOWN,7,6
1341,16,DOWN,2,4
1342,15,DOWN,13,5
1343,3,UP,6,2
1344,6,UP,21,1
1345,22,UP,24,6
1346,22,DOWN,12,3
1347,7,DOWN,2,6
1348,1,UP,2,6
1349,19,DOWN,6,6
1350,1,UP,14,1
1351,24,DOWN,7,3
1352,7,UP,14,5
1353,5,UP,11,6
1354,14,DOWN,1,2
1355,9,UP,22,6
1356,21,DOWN,1,5
1357,2,UP,10,2
1358,13,DOWN,8,1
1359,8,DOWN,3,2
1360,6,UP,20,5
1361,23,DOWN,6,2
1362,22,UP,24,4
1363,24,DOWN,22,1
1364,12,UP,19,4
1365,24,DOWN,19,3
1366,10,UP,23,2
1367,16,DOWN,2,1
1368,10,DOWN,8,1
1369,9,UP,14,5
1370,12,DOWN,8,6
1371,6,UP,13,1
1372,12,DOWN,7,2
1373,9,UP,16,3
1374,10,UP,14,1
1375,8,UP,21,3
1376,8,UP,22,3
1377,8,UP,14,5
1378,8,DOWN,5,2
1379,13,UP,19,5
1380,17,DOWN,4,1
1381,5,UP,13,5
1382,9,DOWN,2,1
1383,11,UP,15,4
1384,15,UP,19,4
1385,21,UP,23,2
1386,3,UP,10,3
1387,10,DOWN,8,1
1388,7,UP,16,5
1389,15,UP,22,6
1390,14,DOWN,7,1
1391,22,DOWN,5,1
1392,3,UP,7,2
1393,5,DOWN,3,4
1394,24,DOWN,22,6
1395,18,UP,21,5
1396,15,UP,20,1
1397,5,UP,18,1
1398,17,DOWN,6,4
1399,16,DOWN,8,6
1400,17,UP,21,3
1401,4,UP,21,6
1402,14,DOWN,3,2
1403,14,DOWN,1,2
1404,19,UP,20,1
1405,12,DOWN,11,6
1406,20,UP,24,1
1407,3,UP,9,1
1408,16,UP,17,3
1409,20,DOWN,4,4
1410,19,DOWN,2,4
1411,8,UP,17,5
1412,15,DOWN,13,3
1413,21,DOWN,11,4
1414,4,DOWN,1,2
1415,2,UP,19,1
1416,16,UP,17,2
1417,21,UP,24,5
1418,17,DOWN,1,3
1419,20,DOWN,13,4
1420,9,UP,21,1
1421,19,DOWN,15,3
1422,8,UP,14,5
1423,10,UP,19,6
1424,12,DOWN,5,6
1425,18,DOWN,4,1
1426,6,UP,12,1
1427,16,DOWN,9,1
1428,23,DOWN,11,5
1429,20,UP,23,2
1430,13,DOWN,10,5
1431,1,UP,10,2
1432,9,DOWN,3,4
1433,22,DOWN,15,4
1434,12,UP,14,2
1435,14,DOWN,8,3
1436,9,UP,11,4
1437,24,DOWN,5,3
1438,15,DOWN,12,1
1439,21,DOWN,1,5
1440,10,UP,22,5
1441,24,DOWN,21,3
1442,18,DOWN,13,5
1443,5,UP,11,2
1444,8,DOWN,5,5
1445,1,UP,21,2
1446,11,DOWN,1,5
1447,20,DOWN,17,2
1448,17,UP,22,1
1449,5,UP,12,2
1450,15,DOWN,4,5
1451,13,DOWN,7,4
1452,19,DOWN,2,4
1453,24,DOWN,22,1
1454,11,DOWN,1,6
1455,6,UP,13,1
1456,2,UP,5,6
1457,14,UP,18,5
1458,2,UP,23,5
1459,23,DOWN,21,6
1460,12,DOWN,8,5
1461,19,DOWN,1,4
1462,23,DOWN,2,2
1463,22,DOWN,2,1
1464,19,DOWN,10,5
1465,9,UP,12,1
1466,14,UP,16,3
1467,24,DOWN,15,5
1468,14,UP,20,6
1469,15,UP,16,2
1470,21,DOWN,12,1
1471,17,DOWN,15,1
1472,21,DOWN,11,5
1473,13,DOWN,8,1
1474,9,UP,16,6
1475,20,DOWN,7,2
1476,16,DOWN,9,2
1477,4,UP,23,3
1478,23,DOWN,4,5
1479,21,UP,22,5
1480,19,DOWN,4,4
1481,3,UP,17,2
1482,2,UP,20,4
1483,19,DOWN,13,5
1484,23,DOWN,8,6
1485,14,DOWN,5,5
1486,3,UP,15,4
1487,11,UP,16,4
1488,16,DOWN,8,3
1489,23,DOWN,9,6
1490,9,UP,10,1
1491,16,DOWN,1,4
1492,6,DOWN,1,3
1493,3,UP,19,5
1494,11,DOWN,1,2
1495,12,DOWN,1,3
1496,11,UP,18,4
1497,7,UP,11,3
1498,2,UP,14,3
1499,11,UP,17,6
1500,18,DOWN,15,6
1501,2,UP,15,5
1502,18,DOWN,5,1
1503,23,DOWN,10,2
1504,23,DOWN,15,3
1505,2,UP,21,5
1506,6,UP,13,1
1507,1,UP,23,1
1508,5,UP,11,5
1509,23,DOWN,1,6
1510,7,UP,8,1
1511,4,UP,6,1
1512,5,UP,19,2
1513,11,DOWN,10,3
1514,2,UP,20,5
1515,16,DOWN,6,1
1516,19,DOWN,1,5
1517,1,UP,19,4
1518,15,DOWN,5,6
1519,12,UP,15,5
1520,17,UP,21,5
1521,11,DOWN,4,6
1522,23,DOWN,14,3
1523,3,UP,18,5
1524,13,DOWN,4,6
1525,4,UP,19,2
1526,16,UP,22,2
1527,15,DOWN,3,1
1528,13,DOWN,2,4
1529,6,UP,7,1
1530,20,DOWN,18,3
1531,10,UP,17,5
1532,17,DOWN,15,4
1533,12,DOWN,1,6
1534,15,DOWN,5,6
1535,19,UP,21,5
1536,18,UP,22,5
1537,7,DOWN,2,3
1538,19,DOWN,3,5
1539,5,UP,15,4
1540,1,UP,10,6
1541,6,UP,21,5
1542,22,DOWN,5,4
1543,18,DOWN,15,4
1544,13,DOWN,2,6
1545,2,UP,6,5
1546,17,UP,20,6
1547,17,UP,22,3
1548,6,UP,14,6
1549,15,DOWN,9,6
1550,18,UP,23,4
1551,23,DOWN,16,4
1552,16,UP,23,1
1553,13,DOWN,12,5
1554,20,DOWN,1,4
1555,2,UP,8,4
1556,21,DOWN,8,6
1557,19,DOWN,18,2
1558,7,UP,19,1
1559,2,UP,9,1
1560,12,DOWN,5,3
1561,12,UP,21,6
1562,14,UP,21,1
1563,5,DOWN,4,3
1564,10,UP,12,3
1565,4,UP,17,5
1566,12,UP,20,3
1567,2,UP,12,2
1568,16,UP,21,4
1569,6,UP,12,4
1570,22,DOWN,3,3
1571,15,UP,19,6
1572,12,UP,17,6
1573,18,UP,23,4
1574,9,UP,23,2
1575,11,UP,19,1
1576,4,UP,11,3
1577,17,DOWN,4,5
1578,2,UP,9,6
1579,12,DOWN,7,2
1580,6,UP,9,6
1581,4,UP,24,2
1582,2,UP,20,6
1583,19,DOWN,16,3
1584,7,UP,13,6
1585,19,UP,20,5
1586,12,UP,22,5
1587,18,DOWN,6,1
1588,6,UP,18,5
1589,1,UP,8,3
1590,21,UP,22,3
1591,7,DOWN,5,2
1592,12,UP,20,6
1593,10,DOWN,4,3
1594,15,UP,19,2
1595,13,UP,16,5
1596,16,UP,24,4
1597,13,UP,24,3
1598,15,DOWN,1,4
1599,23,DOWN,20,5
1600,6,UP,21,4
1601,8,UP,18,3
1602,8,UP,10,6
1603,12,UP,17,2
1604,13,DOWN,6,5
1605,12,UP,23,1
1606,19,UP,22,5
1607,5,UP,14,5
1608,4,UP,12,2
1609,20,UP,21,6
1610,14,DOWN,8,4
1611,24,DOWN,15,6
1612,18,DOWN,6,3
1613,18,DOWN,16,6
1614,17,UP,18,1
1615,8,UP,9,2
1616,17,DOWN,14,1
1617,19,DOWN,15,3
1618,13,UP,21,5
1619,14,DOWN,8,4
1620,2,UP,19,2
1621,20,DOWN,14,6
1622,23,DOWN,13,5
1623,13,UP,23,2
1624,11,DOWN,2,2
1625,24,DOWN,1,5
1626,11,UP,13,2
1627,23,DOWN,20,1
1628,17,DOWN,7,3
1629,3,UP,12,5
1630,6,UP,16,4
1631,22,DOWN,5,5
1632,18,UP,20,1
1633,7,UP,8,4
1634,24,DOWN,17,1
1635,16,UP,20,5
1636,14,UP,21,2
1637,13,UP,22,5
1638,21,DOWN,4,2
1639,24,DOWN,23,5
1640,6,UP,12,3
1641,11,UP,23,5
1642,7,UP,10,5
1643,14,DOWN,10,3
1644,10,UP,21,4
1645,18,UP,22,6
1646,4,UP,16,3
1647,13,DOWN,3,1
1648,5,UP,23,1
1649,18,DOWN,15,5
1650,10,UP,11,1
1651,17,UP,18,5
1652,22,DOWN,5,3
1653,14,DOWN,3,5
1654,16,DOWN,2,3
1655,5,UP,11,4
1656,14,UP,19,4
1657,8,UP,18,6
1658,12,UP,13,1
1659,10,DOWN,6,5
1660,8,UP,16,5
1661,8,DOWN,3,3
1662,3,UP,12,4
1663,8,UP,21,3
1664,5,UP,6,5
1665,14,DOWN,2,6
1666,16,UP,20,1
1667,6,UP,9,4
1668,10,UP,14,3
1669,9,DOWN,5,5
1670,12,DOWN,4,4
1671,12,DOWN,9,6
1672,8,UP,15,4
1673,23,DOWN,12,6
1674,6,UP,8,5
1675,12,DOWN,7,4
1676,8,UP,13,6
1677,4,UP,8,4
1678,2,UP,14,3
1679,3,UP,14,5
1680,24,DOWN,8,3
1681,13,UP,22,3
1682,3,UP,17,6
1683,16,DOWN,10,2
1684,24,DOWN,1,1
1685,1,UP,3,6
1686,18,DOWN,7,6
1687,15,DOWN,10,4
1688,3,UP,16,2
1689,6,DOWN,1,5
1690,4,UP,17,5
1691,21,DOWN,13,3
1692,10,UP,23,3
1693,12,UP,14,1
1694,6,UP,16,2
1695,2,UP,8,2
1696,1,UP,6,5
1697,11,DOWN,6,6
1698,21,DOWN,3,3
1699,3,UP,22,1
1700,23,DOWN,14,4
1701,14,UP,17,1
1702,6,DOWN,3,6
1703,5,UP,12,6
1704,23,DOWN,11,6
1705,18,DOWN,4,4
1706,21,DOWN,15,4
1707,18,UP,21,1
1708,3,UP,16,2
1709,8,UP,21,1
1710,7,UP,17,2
1711,2,UP,13,4
1712,13,UP,16,2
1713,5,UP,6,2
1714,7,DOWN,4,1
1715,5,UP,9,4
1716,4,UP,8,6
1717,17,DOWN,15,4
1718,3,UP,6,3
1719,24,DOWN,16,4
1720,9,DOWN,7,3
1721,18,UP,22,1
1722,24,DOWN,9,5
1723,6,UP,19,1
1724,16,UP,18,6
1725,18,DOWN,17,5
1726,13,DOWN,8,3
1727,4,DOWN,2,3
1728,3,DOWN,1,5
1729,8,UP,9,2
1730,9,DOWN,4,5
1731,8,UP,14,5
1732,6,UP,11,6
1733,13,DOWN,5,5
1734,1,UP,22,6
1735,7,DOWN,5,5
1736,19,DOWN,6,1
1737,7,DOWN,1,2
1738,8,UP,9,5
1739,23,DOWN,18,4
1740,12,DOWN,8,6
1741,13,DOWN,4,2
1742,3,UP,21,5
1743,9,UP,12,3
1744,20,DOWN,4,1
1745,9,DOWN,6,3
1746,14,DOWN,2,5
1747,13,DOWN,2,6
1748,5,DOWN,2,3
1749,8,UP,16,3
1750,20,DOWN,3,3
1751,23,DOWN,15,5
1752,17,DOWN,9,3
1753,20,UP,22,3
1754,2,UP,8,3
1755,16,DOWN,11,6
1756,21,DOWN,8,3
1757,5,DOWN,1,3
1758,20,DOWN,3,5
1759,15,DOWN,11,4
1760,3,UP,9,6
1761,21,DOWN,18,1
1762,24,DOWN,17,2
1763,13,UP,15,5
1764,9,UP,22,6
1765,17,DOWN,14,5
1766,12,UP,20,3
1767,22,DOWN,9,3
1768,7,UP,13,4
1769,24,DOWN,16,1
1770,24,DOWN,19,2
1771,14,UP,18,1
1772,13,DOWN,12,2
1773,18,DOWN,13,2
1774,22,DOWN,14,1
1775,15,DOWN,3,6
1776,3,UP,23,6
1777,7,UP,21,4
1778,7,DOWN,2,2
1779,24,DOWN,16,1
1780,6,UP,14,1
1781,16,DOWN,1,5
1782,13,UP,24,1
1783,23,DOWN,14,5
1784,21,DOWN,7,2
1785,9,UP,16,4
1786,11,UP,19,4
1787,24,DOWN,2,3
1788,20,DOWN,3,1
1789,20,DOWN,14,3
1790,11,UP,23,1
1791,18,DOWN,2,3
1792,18,DOWN,8,1
1793,13,DOWN,11,6
1794,23,DOWN,18,3
1795,21,DOWN,14,2
1796,19,DOWN,7,4
1797,13,UP,23,1
1798,14,UP,24,6
1799,17,DOWN,6,3
1800,22,DOWN,4,1
1801,17,DOWN,9,6
1802,2,UP,7,1
1803,10,DOWN,9,3
1804,12,UP,20,5
1805,15,UP,18,6
1806,24,DOWN,21,6
1807,8,DOWN,3,6
1808,11,DOWN,2,6
1809,20,DOWN,6,4
1810,17,DOWN,4,1
1811,5,UP,14,2
1812,17,DOWN,16,5
1813,11,DOWN,8,3
1814,19,DOWN,12,3
1815,6,UP,9,2
1816,4,DOWN,2,2
1817,14,DOWN,2,5
1818,21,UP,24,6
1819,18,UP,22,2
1820,5,UP,9,6
1821,6,DOWN,1,4
1822,13,UP,14,2
1823,21,DOWN,16,5
1824,15,UP,23,3
1825,17,UP,18,1
1826,4,UP,14,1
1827,23,UP,24,6
1828,16,DOWN,12,6
1829,3,UP,5,6
1830,1,UP,24,5
1831,3,UP,24,4
1832,6,UP,17,3
1833,6,DOWN,2,1
1834,3,DOWN,2,2
1835,18,DOWN,14,2
1836,21,DOWN,3,6
1837,11,UP,19,1
1838,4,UP,6,6
1839,17,DOWN,9,2
1840,10,DOWN,2,1
1841,14,UP,23,4
1842,12,DOWN,1,5
1843,12,UP,18,2
1844,24,DOWN,8,5
1845,9,UP,23,2
1846,24,DOWN,14,3
1847,10,DOWN,1,4
1848,13,DOWN,6,2
1849,15,UP,17,1
1850,22,DOWN,2,3
1851,6,UP,10,5
1852,7,UP,10,3
1853,18,DOWN,7,2
1854,16,DOWN,9,6
1855,23,DOWN,3,5
1856,9,UP,21,3
1857,7,UP,20,4
1858,18,DOWN,14,1
1859,23,DOWN,20,4
1860,12,UP,17,5
1861,21,DOWN,3,6
1862,8,UP,9,2
1863,7,UP,19,1
1864,12,UP,23,5
1865,22,DOWN,3,4
1866,8,UP,17,6
1867,4,UP,9,4
1868,16,UP,21,4
1869,20,DOWN,3,6
1870,16,DOWN,1,4
1871,19,DOWN,6,2
1872,13,UP,14,2
1873,21,DOWN,14,2
1874,13,UP,24,4
1875,15,DOWN,13,3
1876,16,UP,20,4
1877,10,UP,19,5
1878,9,DOWN,1,6
1879,10,DOWN,4,5
1880,15,DOWN,8,3
1881,10,UP,20,5
1882,23,DOWN,1,5
1883,17,UP,20,4
1884,11,UP,18,6
1885,12,UP,17,1
1886,13,DOWN,8,6
1887,18,UP,24,1
1888,11,DOWN,4,2
1889,18,UP,24,6
1890,22,UP,23,6
1891,17,DOWN,5,5
1892,16,DOWN,8,5
1893,11,UP,17,4
1894,24,DOWN,18,5
1895,22,DOWN,7,1
1896,9,UP,11,3
1897,22,DOWN,18,5
1898,12,UP,17,1
1899,9,DOWN,3,3
1900,22,DOWN,5,5
1901,20,DOWN,1,6
1902,6,UP,21,4
1903,10,UP,19,4
1904,10,UP,21,6
1905,14,DOWN,2,1
1906,21,DOWN,5,2
1907,20,UP,22,1
1908,9,UP,19,6
1909,7,UP,22,6
1910,24,DOWN,13,3
1911,22,DOWN,19,6
1912,5,UP,11,1
1913,14,DOWN,12,6
1914,5,UP,23,3
1915,11,UP,22,5
1916,9,DOWN,1,6
1917,5,UP,14,1
1918,20,DOWN,11,2
1919,7,UP,15,1
1920,18,UP,23,5
1921,12,DOWN,9,2
1922,16,UP,22,6
1923,5,UP,24,3
1924,10,UP,22,4
1925,9,DOWN,6,1
1926,22,DOWN,16,1
1927,18,DOWN,3,2
1928,15,DOWN,1,1
1929,22,DOWN,14,1
1930,18,DOWN,6,2
1931,8,DOWN,5,2
1932,19,DOWN,16,3
1933,8,UP,22,5
1934,3,UP,9,4
1935,9,UP,20,4
1936,18,DOWN,17,3
1937,21,DOWN,17,3
1938,10,UP,15,6
1939,14,DOWN,9,1
1940,6,UP,24,5
1941,16,DOWN,12,2
1942,8,UP,14,5
1943,11,DOWN,10,4
1944,9,DOWN,1,3
1945,1,UP,13,2
1946,20,DOWN,12,1
1947,7,UP,21,4
1948,18,UP,19,6
1949,1,UP,2,5
1950,7,UP,9,2
1951,6,DOWN,4,2
1952,24,DOWN,3,6
1953,15,UP,18,4
1954,18,UP,23,3
1955,5,UP,14,6
1956,5,DOWN,1,1
1957,10,UP,23,6
1958,8,UP,16,6
1959,10,DOWN,9,5
1960,4,UP,12,4
1961,8,UP,23,5
1962,19,DOWN,7,6
1963,13,DOWN,2,5
1964,22,DOWN,19,2
1965,22,DOWN,12,3
1966,19,DOWN,7,1
1967,16,DOWN,7,2
1968,15,DOWN,13,6
1969,24,DOWN,3,5
1970,4,UP,12,3
1971,6,UP,7,2
1972,23,DOWN,10,4
1973,22,DOWN,7,1
1974,3,UP,11,6
1975,9,UP,18,6
1976,17,DOWN,2,1
1977,13,UP,18,2
1978,17,DOWN,8,4
1979,4,UP,7,4
1980,2,UP,23,6
1981,14,DOWN,4,4
1982,20,UP,22,4
1983,3,UP,12,3
1984,4,UP,21,2
1985,2,UP,15,4
1986,11,UP,17,6
1987,9,DOWN,4,2
1988,3,UP,16,1
1989,21,DOWN,6,2
1990,14,DOWN,12,1
1991,17,UP,23,5
1992,11,DOWN,1,3
1993,4,UP,8,5
1994,24,DOWN,2,4
1995,7,DOWN,4,2
1996,11,DOWN,6,3
1997,24,DOWN,11,5
1998,15,UP,19,4
1999,1,UP,19,5
2000,14,UP,20,2
2001,7,DOWN,4,4
2002,6,UP,14,2
2003,22,DOWN,1,4
2004,10,DOWN,5,2
2005,7,UP,10,6
2006,22,UP,24,1
2007,19,DOWN,10,6
2008,19,UP,20,6
2009,14,DOWN,7,6
2010,2,UP,17,5
2011,19,UP,22,4
2012,24,DOWN,11,5
2013,6,UP,23,5
2014,6,UP,7,6
2015,16,UP,20,1
2016,18,DOWN,12,5
2017,18,DOWN,13,1
2018,2,UP,3,2
2019,5,DOWN,1,1
2020,23,DOWN,3,6
2021,3,UP,4,4
2022,6,DOWN,4,3
2023,23,DOWN,4,4
2024,23,DOWN,10,4
2025,24,DOWN,6,3
2026,7,UP,11,1
2027,9,DOWN,3,3
2028,22,DOWN,11,1
2029,15,UP,24,1
2030,18,DOWN,10,4
2031,21,UP,23,3
2032,23,DOWN,8,5
2033,24,DOWN,9,5
2034,23,UP,24,6
2035,13,UP,21,1
2036,13,DOWN,4,6
2037,13,DOWN,10,6
2038,13,DOWN,12,1
2039,6,UP,24,5
2040,14,DOWN,4,3
2041,10,DOWN,8,4
2042,2,UP,20,2
2043,21,DOWN,4,3
2044,4,UP,9,4
2045,24,DOWN,23,5
2046,16,DOWN,6,1
2047,2,UP,23,3
2048,1,UP,22,5
2049,4,UP,10,2
2050,9,UP,22,5
2051,22,DOWN,6,6
2052,15,DOWN,7,1
2053,10,DOWN,3,2
2054,18,UP,23,3
2055,22,DOWN,21,2
2056,24,DOWN,4,6
2057,15,DOWN,3,6
2058,16,UP,24,4
2059,4,UP,6,3
2060,21,DOWN,4,6
2061,2,UP,11,1
2062,11,DOWN,2,2
2063,19,DOWN,15,6
2064,19,DOWN,2,5
2065,12,DOWN,6,5
2066,1,UP,2,4
2067,22,UP,23,1
2068,13,DOWN,2,4
2069,21,UP,23,3
2070,1,UP,23,5
2071,14,UP,15,3
2072,2,UP,21,5
2073,24,DOWN,1,4
2074,20,DOWN,14,1
2075,22,DOWN,7,2
2076,3,UP,21,3
2077,24,DOWN,11,2
2078,22,DOWN,8,3
2079,18,DOWN,13,3
2080,7,UP,17,6
2081,15,DOWN,6,2
2082,17,DOWN,15,2
2083,1,UP,2,6
2084,5,UP,20,2
2085,15,DOWN,11,1
2086,12,DOWN,3,3
2087,15,DOWN,7,2
2088,8,UP,12,3
2089,10,UP,13,4
2090,13,UP,22,6
2091,17,DOWN,2,5
2092,7,UP,22,6
2093,19,DOWN,13,6
2094,15,DOWN,8,1
2095,11,DOWN,6,2
2096,14,DOWN,3,4
2097,11,UP,15,4
2098,8,UP,12,6
2099,15,DOWN,10,6
2100,3,UP,12,3
2101,18,UP,22,3
2102,6,UP,19,4
2103,12,DOWN,11,2
2104,10,UP,13,6
2105,15,UP,19,5
2106,17,DOWN,12,4
2107,1,UP,14,1
2108,10,DOWN,9,5
2109,13,DOWN,4,6
2110,11,UP,21,3
2111,14,DOWN,5,2
2112,17,DOWN,10,3
2113,3,UP,15,2
2114,4,UP,18,6
2115,5,DOWN,2,2
2116,19,DOWN,6,1
2117,6,UP,18,2
2118,24,DOWN,17,5
2119,9,UP,13,1
2120,5,UP,20,3
2121,4,UP,5,1
2122,22,DOWN,18,4
2123,8,UP,17,6
2124,18,DOWN,1,5
2125,15,UP,23,6
2126,16,DOWN,10,4
2127,1,UP,9,2
2128,9,UP,16,2
2129,7,UP,15,2
2130,24,DOWN,23,2
2131,7,UP,23,6
2132,7,UP,20,2
2133,3,UP,21,3
2134,19,UP,20,3
2135,15,DOWN,13,2
2136,22,DOWN,11,6
2137,11,UP,12,6
2138,12,UP,17,3
2139,21,UP,24,4
2140,13,UP,14,5
2141,8,UP,16,4
2142,24,DOWN,8,4
2143,23,DOWN,10,1
2144,3,DOWN,2,5
2145,17,UP,19,5
2146,23,DOWN,11,6
2147,23,DOWN,16,5
2148,9,UP,16,6
2149,15,UP,18,2
2150,11,DOWN,10,6
2151,17,UP,24,2
2152,12,UP,16,4
2153,9,UP,24,6
2154,7,UP,24,6
2155,20,UP,22,3
2156,12,DOWN,5,2
2157,2,UP,20,4
2158,5,UP,6,3
2159,4,UP,18,3
2160,21,DOWN,9,6
2161,14,DOWN,4,4
2162,5,UP,16,2
2163,6,UP,8,2
2164,23,DOWN,9,1
2165,21,DOWN,5,4
2166,15,DOWN,3,2
2167,13,DOWN,5,3
2168,11,DOWN,10,5
2169,7,UP,21,5
2170,13,DOWN,1,5
2171,9,UP,18,5
2172,13,DOWN,10,1
2173,21,DOWN,8,1
2174,23,DOWN,12,4
2175,7,UP,16,4
2176,24,DOWN,4,5
2177,9,DOWN,3,2
2178,2,UP,15,2
2179,10,UP,15,2
2180,11,UP,18,1
2181,4,UP,24,5
2182,7,DOWN,2,6
2183,17,DOWN,12,1
2184,14,UP,23,3
2185,22,UP,23,1
2186,21,DOWN,4,2
2187,2,UP,22,6
2188,17,DOWN,12,1
2189,20,DOWN,14,2
2190,12,DOWN,4,6
2191,4,UP,15,6
2192,23,DOWN,21,2
2193,5,UP,7,4
2194,9,UP,18,1
2195,1,UP,24,3
2196,18,UP,24,2
2197,21,DOWN,19,2
2198,22,DOWN,10,2
2199,3,DOWN,1,4
2200,8,DOWN,1,2
2201,15,DOWN,8,2
2202,22,DOWN,21,3
2203,4,UP,5,3
2204,16,UP,23,4
2205,12,DOWN,4,6
2206,15,UP,17,4
2207,8,UP,13,4
2208,7,UP,10,1
2209,6,UP,16,2
2210,6,UP,18,2
2211,12,DOWN,11,6
2212,11,UP,17,4
2213,14,UP,17,3
2214,17,UP,22,6
2215,5,UP,15,6
2216,9,UP,24,2
2217,14,DOWN,5,6
2218,18,DOWN,7,3
2219,14,DOWN,3,6
2220,18,DOWN,16,4
2221,7,UP,10,5
2222,19,DOWN,8,6
2223,5,UP,21,3
2224,5,UP,15,4
2225,8,DOWN,6,4
2226,15,DOWN,8,5
